name,ticker,isin,productType,currency
Amundi Japan TOPIX II UCITS ETF EUR Dist,JPNL,FR0010245514,ETF,GBX
Amundi Japan TOPIX II UCITS ETF Hedged EUR Dist,JPNH,FR0011475078,ETF,EUR
Amundi Japan TOPIX II UCITS ETF Hedged EUR Dist,JPNH,FR0011475078,ETF,EUR
Amundi Japan TOPIX II UCITS ETF Hedged EUR Dist,JPNH,FR0011475078,ETF,EUR
Amundi Japan TOPIX II UCITS ETF Hedged EUR Dist,JPNH,FR0011475078,ETF,EUR
Amundi Japan TOPIX II UCITS ETF Hedged EUR Dist,0XC2,FR0011475078,ETF,EUR
Amundi Japan Topix UCITS ETF - daily Hdgd EUR (C),TTPX,LU1681037864,ETF,EUR
Amundi Japan Topix UCITS ETF - daily Hdgd EUR (C),TPXH ,LU1681037864,ETF,EUR
Amundi Japan Topix UCITS ETF - EUR,TPXE,LU1681037609,ETF,EUR
Amundi Japan Topix UCITS ETF - JPY (C),TPXU,LU1681037781,ETF,USD
